Number of Robots Processed,Elapsed Time (seconds)
50,6.173571586608887
100,11.987662315368652
150,17.937605142593384
200,23.896857023239136
250,29.850786209106445
300,35.71054673194885
350,41.670279026031494
400,47.59054756164551
450,53.54407238960266
500,59.522685527801514
550,65.41466975212097
600,71.33517456054688
650,77.24276089668274
700,83.17852735519409
750,89.07302021980286
800,95.06936311721802
850,100.95776081085205
900,106.87277054786682
950,112.83936905860901
1000,118.73120880126953
